user_id,company_id,user_type,join_date,email,current_state,initial_churn_prob
1,1,loyal,2021-07-17,user1@techflowsaas.com,Active,0.0867
2,1,loyal,2020-07-28,user2@techflowsaas.com,Active,0.1515
3,1,churner,2020-06-27,user3@techflowsaas.com,Churned,0.8681
4,1,loyal,2020-07-10,user4@techflowsaas.com,Active,0.0828
5,1,at_risk,2020-02-24,user5@techflowsaas.com,At Risk,0.5403
6,1,at_risk,2023-12-07,user6@techflowsaas.com,At Risk,0.5362
7,1,loyal,2023-04-21,user7@techflowsaas.com,Active,0.0917
8,1,churner,2020-11-22,user8@techflowsaas.com,Churned,0.8896
9,1,loyal,2020-11-14,user9@techflowsaas.com,Active,0.0823
10,1,at_risk,2020-07-28,user10@techflowsaas.com,At Risk,0.4232
11,1,loyal,2021-12-05,user11@techflowsaas.com,Active,0.1406
12,1,churner,2022-07-29,user12@techflowsaas.com,Churned,0.8572
13,1,churner,2022-02-14,user13@techflowsaas.com,Churned,0.7658
14,1,loyal,2023-07-11,user14@techflowsaas.com,Active,0.1428
15,1,churner,2023-03-28,user15@techflowsaas.com,Churned,0.7885
16,1,loyal,2023-09-16,user16@techflowsaas.com,Active,0.0842
17,1,loyal,2020-06-12,user17@techflowsaas.com,Active,0.1783
18,1,churner,2022-02-17,user18@techflowsaas.com,Churned,0.8056
19,1,at_risk,2022-01-17,user19@techflowsaas.com,At Risk,0.4407
20,1,loyal,2023-10-04,user20@techflowsaas.com,Active,0.09
21,1,churner,2023-08-20,user21@techflowsaas.com,Churned,0.7643
22,1,at_risk,2022-12-29,user22@techflowsaas.com,At Risk,0.5823
23,1,loyal,2022-02-16,user23@techflowsaas.com,Active,0.0905
24,1,churner,2023-11-10,user24@techflowsaas.com,Churned,0.8614
25,1,at_risk,2020-04-24,user25@techflowsaas.com,At Risk,0.4573
26,1,loyal,2021-10-08,user26@techflowsaas.com,Active,0.1102
27,1,loyal,2023-03-07,user27@techflowsaas.com,Active,0.1815
28,1,loyal,2023-09-04,user28@techflowsaas.com,Active,0.1249
29,1,churner,2023-08-09,user29@techflowsaas.com,Churned,0.8418
30,1,loyal,2021-05-20,user30@techflowsaas.com,Active,0.1617
31,1,at_risk,2023-04-12,user31@techflowsaas.com,At Risk,0.5071
32,1,at_risk,2022-01-11,user32@techflowsaas.com,At Risk,0.4548
33,1,churner,2022-11-09,user33@techflowsaas.com,Churned,0.8487
34,1,at_risk,2020-08-12,user34@techflowsaas.com,At Risk,0.4382
35,1,loyal,2023-10-25,user35@techflowsaas.com,Active,0.1133
36,1,loyal,2022-02-20,user36@techflowsaas.com,Active,0.1394
